timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560943468975,10335,HomePage,200,OK,Thread Group 1-3,text,true,,57356,119,20,20,http://lifecharger.org/,9390,0,299
1560943469009,10301,HomePage,200,OK,Thread Group 1-4,text,true,,57359,119,20,20,http://lifecharger.org/,9356,0,271
1560943468975,11849,HomePage,200,OK,Thread Group 1-1,text,true,,57344,119,20,20,http://lifecharger.org/,11269,0,318
1560943469154,11673,HomePage,200,OK,Thread Group 1-7,text,true,,57358,119,20,20,http://lifecharger.org/,11126,0,270
1560943469057,12173,HomePage,200,OK,Thread Group 1-5,text,true,,57352,119,20,20,http://lifecharger.org/,11233,0,270
1560943468975,12318,HomePage,200,OK,Thread Group 1-2,text,true,,57352,119,20,20,http://lifecharger.org/,11368,0,310
1560943469107,12694,HomePage,200,OK,Thread Group 1-6,text,true,,57349,119,20,20,http://lifecharger.org/,12149,0,270
1560943469402,13831,HomePage,200,OK,Thread Group 1-12,text,true,,57358,119,20,20,http://lifecharger.org/,12863,0,267
1560943469351,13883,HomePage,200,OK,Thread Group 1-11,text,true,,57358,119,20,20,http://lifecharger.org/,12919,0,271
1560943469451,13816,HomePage,200,OK,Thread Group 1-13,text,true,,57365,119,20,20,http://lifecharger.org/,12871,0,284
1560943469303,14037,HomePage,200,OK,Thread Group 1-10,text,true,,57358,119,20,20,http://lifecharger.org/,13041,0,268
1560943469204,15030,HomePage,200,OK,Thread Group 1-8,text,true,,57344,119,20,20,http://lifecharger.org/,14081,0,269
1560943469599,14663,HomePage,200,OK,Thread Group 1-16,text,true,,57358,119,20,20,http://lifecharger.org/,13723,0,271
1560943469501,14818,HomePage,200,OK,Thread Group 1-14,text,true,,57372,119,20,20,http://lifecharger.org/,13825,0,269
1560943469549,14775,HomePage,200,OK,Thread Group 1-15,text,true,,57363,119,20,20,http://lifecharger.org/,13746,0,271
1560943469253,16010,HomePage,200,OK,Thread Group 1-9,text,true,,57351,119,20,20,http://lifecharger.org/,15035,0,269
1560943469648,15620,HomePage,200,OK,Thread Group 1-17,text,true,,57358,119,20,20,http://lifecharger.org/,14691,0,283
1560943469798,15506,HomePage,200,OK,Thread Group 1-20,text,true,,57344,119,20,20,http://lifecharger.org/,14552,0,271
1560943469698,16081,HomePage,200,OK,Thread Group 1-18,text,true,,57352,119,20,20,http://lifecharger.org/,15535,0,269
1560943469751,16045,HomePage,200,OK,Thread Group 1-19,text,true,,57351,119,20,20,http://lifecharger.org/,15500,0,270
1560943479324,10959,AboutPage,200,OK,Thread Group 1-4,text,true,,35975,125,20,20,http://lifecharger.org/about/,9970,0,282
1560943479324,11960,AboutPage,200,OK,Thread Group 1-3,text,true,,35982,125,20,20,http://lifecharger.org/about/,10060,0,286
1560943491286,955,Archives,500,Internal Server Error,Thread Group 1-3,text,false,Test failed: code expected to contain /200/,852,128,20,20,http://lifecharger.org/archives/,954,0,286
1560943480825,11686,AboutPage,200,OK,Thread Group 1-1,text,true,,35975,125,19,19,http://lifecharger.org/about/,11412,0,270
1560943481802,12516,AboutPage,200,OK,Thread Group 1-6,text,true,,35976,125,19,19,http://lifecharger.org/about/,11536,0,272
1560943480828,14486,AboutPage,200,OK,Thread Group 1-7,text,true,,35976,125,19,19,http://lifecharger.org/about/,13515,0,271
1560943481294,14021,AboutPage,200,OK,Thread Group 1-2,text,true,,35982,125,19,19,http://lifecharger.org/about/,13060,0,270
1560943484321,11943,AboutPage,200,OK,Thread Group 1-14,text,true,,35982,125,19,19,http://lifecharger.org/about/,10958,0,272
1560943495317,958,Archives,500,Internal Server Error,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,852,128,19,19,http://lifecharger.org/archives/,958,0,270
1560943495316,960,Archives,500,Internal Server Error,Thread Group 1-7,text,false,Test failed: code expected to contain /200/,852,128,19,19,http://lifecharger.org/archives/,960,0,270
1560943483235,13056,AboutPage,200,OK,Thread Group 1-11,text,true,,35982,125,17,17,http://lifecharger.org/about/,12051,0,271
1560943481231,15112,AboutPage,200,OK,Thread Group 1-5,text,true,,35990,125,17,17,http://lifecharger.org/about/,13136,0,284
1560943483234,13989,AboutPage,200,OK,Thread Group 1-12,text,true,,35983,125,17,17,http://lifecharger.org/about/,13048,0,269
1560943483268,14304,AboutPage,200,OK,Thread Group 1-13,text,true,,35982,125,17,17,http://lifecharger.org/about/,14004,0,300
1560943483341,14885,AboutPage,200,OK,Thread Group 1-10,text,true,,35982,125,17,17,http://lifecharger.org/about/,12997,0,271
1560943484326,13901,AboutPage,200,OK,Thread Group 1-15,text,true,,35989,125,17,17,http://lifecharger.org/about/,12927,0,273
1560943485306,13250,AboutPage,200,OK,Thread Group 1-20,text,true,,35976,125,17,17,http://lifecharger.org/about/,12960,0,285
1560943484264,14300,AboutPage,200,OK,Thread Group 1-16,text,true,,35975,125,17,17,http://lifecharger.org/about/,14018,0,269
1560943484236,14341,AboutPage,200,OK,Thread Group 1-8,text,true,,35976,125,17,17,http://lifecharger.org/about/,14040,0,283
1560943485270,13973,AboutPage,200,OK,Thread Group 1-17,text,true,,35975,125,17,17,http://lifecharger.org/about/,13017,0,275
1560943485265,15057,AboutPage,200,OK,Thread Group 1-9,text,true,,35975,125,17,17,http://lifecharger.org/about/,14098,0,283
1560943485781,15507,AboutPage,200,OK,Thread Group 1-18,text,true,,35976,125,17,17,http://lifecharger.org/about/,14516,0,271
