timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561733147070,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,12604,118,1,1,http://127.0.0.1:9090/,6,0,0
1561733147076,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,12603,118,1,1,http://127.0.0.1:9090/,4,0,0
1561733147080,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,12603,118,1,1,http://127.0.0.1:9090/,4,0,0
1561733147084,5,HTTP Request,200,OK,Thread Group 1-1,text,true,,12604,118,1,1,http://127.0.0.1:9090/,5,0,0
1561733147089,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,12604,118,2,2,http://127.0.0.1:9090/,6,0,0
1561733147090,5,HTTP Request,200,OK,Thread Group 1-2,text,true,,12604,118,2,2,http://127.0.0.1:9090/,5,0,0
1561733147095,8,HTTP Request,200,OK,Thread Group 1-1,text,true,,12603,118,2,2,http://127.0.0.1:9090/,8,0,0
1561733147103,6,HTTP Request,200,OK,Thread Group 1-1,text,true,,12602,118,2,2,http://127.0.0.1:9090/,6,0,0
1561733147109,4,HTTP Request,200,OK,Thread Group 1-1,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147103,11,HTTP Request,200,OK,Thread Group 1-2,text,true,,12602,118,3,3,http://127.0.0.1:9090/,11,0,0
1561733147109,7,HTTP Request,200,OK,Thread Group 1-3,text,true,,12603,118,3,3,http://127.0.0.1:9090/,6,0,0
1561733147114,4,HTTP Request,200,OK,Thread Group 1-2,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147116,8,HTTP Request,200,OK,Thread Group 1-3,text,true,,12602,118,3,3,http://127.0.0.1:9090/,8,0,0
1561733147118,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,12603,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147113,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,12604,118,3,3,http://127.0.0.1:9090/,15,0,0
